source,target,value
Barry,PI,865000.0
Barry,S,790750.0
Barry,SA,837500.0
Barry,SP,750000.0
Barry,VB,832500.0
Buxton,PI,1165000.0
Buxton,S,1172500.0
Buxton,SA,1220000.0
Buxton,SP,1078000.0
Buxton,VB,1160000.0
Fletchers,PI,1420000.0
Fletchers,S,1129500.0
Fletchers,SA,1497500.0
Fletchers,SP,845000.0
Fletchers,VB,1165000.0
Harcourts,PI,920500.0
Harcourts,S,742500.0
Harcourts,SA,685000.0
Harcourts,SP,795000.0
Harcourts,VB,1000000.0
Jellis,PI,1322500.0
Jellis,S,1218000.0
Jellis,SA,1270000.0
Jellis,SP,886000.0
Jellis,VB,1232500.0
McGrath,PI,1062000.0
McGrath,S,950000.0
McGrath,SA,1155000.0
McGrath,SP,866000.0
McGrath,VB,845000.0
Nelson,PI,922500.0
Nelson,S,1004500.0
Nelson,SA,775000.0
Nelson,SP,911000.0
Nelson,VB,960000.0
Noel,PI,1265000.0
Noel,S,1055000.0
Noel,SA,1032500.0
Noel,SP,995500.0
Noel,VB,1070000.0
RT,PI,2300000.0
RT,S,1315000.0
RT,SA,1187500.0
RT,SP,960000.0
RT,VB,1500000.0
Ray,PI,850000.0
Ray,S,773500.0
Ray,SA,851500.0
Ray,SP,780000.0
Ray,VB,715000.0
hockingstuart,PI,857500.0
hockingstuart,S,755000.0
hockingstuart,SA,842500.0
hockingstuart,SP,747500.0
hockingstuart,VB,870000.0
