Year,Melbourne_Metropolitan_Area_Units_Apartments_no_of_sales,Country_Victoria_Units_Apartments_no_of_sales,Victoria_Units_Apartments_no_of_sales,Melbourne_City_Units_Apartments_no_of_sales
1987,16647,2073,18720,604
1988,20805,2993,23798,700
1989,15386,2823,18209,443
1990,14680,2507,17187,463
1991,13541,2209,15750,363
1992,14828,2332,17160,984
1993,17490,2488,19978,1710
1994,20133,2615,22748,1743
1995,16574,2095,18669,1335
1996,19357,2160,21517,1628
1997,26882,2703,29585,2380
1998,25166,2715,27881,2981
1999,29691,2924,32615,4706
2000,29864,3574,33438,4045
2001,36727,4616,41343,6026
2002,32220,4521,36741,5467
2003,30225,4466,34691,3839
2004,25924,4135,30059,3314
2005,28992,4172,33164,3724
2006,30650,4184,34834,4186
2007,41893,4952,46845,6099
2008,31920,4090,36010,5099
2009,40688,5361,46049,5801
2010,40046,4755,44801,7705
2011,34463,4226,38689,6437
2012,34180,4233,38413,5651
2013,42853,4361,47214,7708
2014,49706,4385,54091,10119
2015,47738,4404,52142,7276
2016,36988,4368,41356,4262
2017,33600,4561,38161,4005
2018,4350,814,5164,614
